1、您的性别是？,2、您所在年级？,3、您所学专业类别？,4、您是否了解AIGC（人工智能生产内容）？,5、您是否使用过AIGC工具（如deepseek、豆包、文心一言、Kimi、ChatGPT）？,6、您最常使用AIGC工具来做什么？,7、您平均使用AIGC工具频率是？,8、您最常使用的工具类型是？,9、您是否尝试过结合多种AIGC工具完成内容？（如文本+图像生成）,10、您在使用AIGC所遇到的困难（1--7表示从不、极少、偶尔、有时、经常、常常、总是）―生成内容和需求不匹配,10、操作界面复杂,10、隐私及数据安全方面忧虑,10、版权归属等伦理层面的争议,10、收费过高,10、网络延迟或性能相关问题,10、生成内容创新性不高,10、担心产生过度依赖,11、您是否觉得使用 AIGC 类应用可以激发您的灵感和思路,12、您有很强的意愿尝试和分享AIGC类应用,13、AIGC 类应用的界面设计直观易用，这对您持续使用该工具起到了积极地促进作用,14、您对在 AIGC 类应用上传个人信息和数据时可能存在泄密而感到担忧,15、AIGC类应用提供的信息内容十分丰富全面,16、AIGC类应用提供的信息来源可靠，这对我持续使用该工具有积极促进作用。,17、周围人对AIGC工具使用情况，会影响我对这类应用的尝试意愿。,18、媒体对AIGC类应用的报道和评价，会影响我对这类应用的信任度。,19、您对AIGC工具以下方面是否满意？（1--&gt;7表示非常不满意--&gt;非常满意）―输出内容质量,19、操作便捷性,19、响应速度,19、功能多样性,19、客户支持服务,19、安全性和隐私保护性,20、您认为AIGC工具最需要改进方面是,21、您未来是否会继续使用AIGC工具？,22、您是否愿意向他人推荐AIGC工具？,23、您是否愿意为AIGC工具付费？,24、您愿意每月为AIGC工具支付多少费用？
男,大二,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,频繁,文本生成┋视频生成┋代码生成,经常,5,5,5,5,5,5,5,5,有些符合,有些不符合,有些符合,有些符合,有些符合,有些符合,有些符合,有些符合,5,5,5,5,5,5,提高内容准确性┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,是,1~50元
女,大四,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天3～5次,文本生成┋图像生成┋代码生成┋数据分析,经常,3,4,6,7,5,5,3,4,有些符合,有些符合,符合,符合,符合,一般,符合,符合,5,5,6,6,6,6,增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,是,50~100元
女,大四,人文社科类,一般,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,偶尔（一个月1～2次）,文本生成┋数据分析,有时,5,2,4,2,6,7,5,3,符合,有些符合,符合,符合,有些符合,有些符合,符合,有些不符合,5,6,6,4,3,5,提高内容准确性┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,否,(跳过)
女,大四,医学类,一般,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,偶尔（一个月1～2次）,文本生成┋数据分析,偶尔,4,5,5,6,5,5,4,6,有些符合,符合,符合,有些符合,符合,有些符合,符合,有些符合,6,6,5,5,4,5,提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,是,1~50元
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,偶尔（一个月1～2次）,文本生成┋数据分析,偶尔,4,3,6,4,5,7,6,7,有些符合,有些符合,符合,符合,有些符合,符合,符合,符合,5,6,4,3,3,3,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,肯定会,非常愿意,否,(跳过)
女,大四,其它,不太了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天1～2次,文本生成┋数据分析,偶尔,3,4,3,2,4,6,5,6,有些符合,符合,符合,有些不符合,极其符合,极其符合,符合,符合,6,7,5,7,4,4,提高内容准确性┋增强理解需求能力┋优化操作界面和流程,肯定会,非常愿意,是,150~200元
女,大二,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,从未,6,3,6,3,3,4,6,7,一般,一般,符合,符合,有些符合,有些符合,有些符合,有些符合,4,5,5,5,4,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,不确定,是,1~50元
女,大四,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋图像生成,有时,6,4,5,4,5,4,6,6,有些符合,一般,有些符合,有些符合,有些符合,极其符合,有些符合,符合,5,6,6,5,6,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,可能会,非常愿意,否,(跳过)
女,研究生及以上,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天3～5次,文本生成┋视频生成┋图像生成┋数据分析,有时,3,4,5,6,5,6,7,6,有些符合,符合,有些符合,符合,有些符合,有些符合,极其符合,符合,6,7,6,7,4,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,可能会,愿意,是,1~50元
女,大四,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天1～2次,文本生成┋数据分析,偶尔,5,2,6,6,3,3,5,7,有些符合,有些不符合,符合,符合,极其符合,有些不符合,有些符合,符合,5,7,6,3,5,2,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,否,(跳过)
女,大三,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,频繁,文本生成┋数据分析,有时,1,2,4,3,1,2,4,6,有些符合,极其符合,极其符合,有些符合,符合,符合,极其符合,有些不符合,5,7,6,7,5,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,否,(跳过)
女,大二,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,频繁,文本生成┋代码生成┋数据分析,有时,3,3,6,6,4,7,5,3,有些符合,符合,符合,符合,符合,一般,不符合,符合,6,7,6,6,4,3,提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,否,(跳过)
女,大二,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天1～2次,文本生成┋代码生成┋数据分析,有时,5,3,2,2,2,4,5,3,有些不符合,一般,有些符合,符合,有些符合,有些符合,有些符合,符合,4,5,4,3,3,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,不确定,否,(跳过)
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋图像生成┋数据分析,有时,5,6,7,6,4,6,7,7,有些符合,符合,极其符合,极其符合,有些符合,有些不符合,符合,极其符合,3,5,6,2,4,3,增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,是,50~100元
女,大四,人文社科类,不太了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,偶尔（一个月1～2次）,文本生成┋代码生成┋数据分析,有时,6,2,2,3,2,5,6,6,有些符合,有些不符合,符合,有些不符合,符合,符合,有些不符合,有些符合,5,6,6,4,3,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,愿意,否,(跳过)
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,经常,5,4,6,5,4,6,5,6,符合,有些符合,符合,一般,有些符合,有些符合,符合,有些符合,6,5,7,6,4,5,提高内容准确性┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,是,1~50元
女,大三,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,频繁,文本生成┋代码生成┋数据分析,偶尔,4,3,2,3,4,5,4,5,符合,符合,符合,有些不符合,有些符合,有些符合,符合,有些符合,5,6,5,6,4,4,增强理解需求能力┋提升内容深度和创新性,肯定会,愿意,是,1~50元
女,大四,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,偶尔（一个月1～2次）,文本生成┋数据分析,从未,4,3,5,5,3,5,6,5,有些符合,符合,符合,有些符合,符合,符合,有些符合,一般,6,5,5,4,5,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,否,(跳过)
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,偶尔（一个月1～2次）,文本生成┋代码生成┋数据分析,偶尔,6,5,7,6,5,6,7,6,有些符合,有些符合,一般,符合,符合,有些符合,极其符合,符合,6,6,4,5,5,4,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,可能会,愿意,否,(跳过)
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,从未,3,1,3,1,2,2,4,6,符合,符合,极其符合,有些符合,符合,有些不符合,符合,符合,6,7,6,6,6,6,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,是,1~50元
女,大四,艺术类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,偶尔,5,2,4,5,4,3,3,6,符合,有些符合,符合,有些符合,符合,一般,有些符合,一般,6,6,6,5,5,5,提高内容准确性┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,是,1~50元
女,大四,人文社科类,一般,是,课程作业辅助（如写论文、完成报告等））┋娱乐（如聊天等）,偶尔（一个月1～2次）,文本生成┋其它,偶尔,4,5,4,5,2,3,4,5,有些符合,一般,有些符合,符合,符合,符合,有些不符合,有些不符合,5,4,4,3,5,3,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,不确定,不确定,否,(跳过)
女,大一,农学类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋娱乐（如聊天等）,偶尔（一个月1～2次）,文本生成┋数据分析,从未,6,5,6,7,5,3,6,7,一般,有些符合,符合,极其符合,一般,不符合,不符合,有些符合,2,4,6,4,5,3,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,可能会,不确定,是,150~200元
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋娱乐（如聊天等）,每天3～5次,文本生成┋数据分析,有时,4,3,5,4,5,6,5,7,符合,符合,符合,极其符合,有些符合,有些符合,符合,符合,6,5,4,4,5,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,是,1~50元
女,大四,其它,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,有时,6,5,7,6,4,7,7,6,有些不符合,一般,有些不符合,极其符合,有些不符合,符合,有些符合,有些符合,4,5,5,6,4,3,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,不确定,否,(跳过)
女,大三,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,每天1～2次,文本生成┋图像生成,偶尔,6,3,6,4,2,6,5,3,有些符合,符合,符合,符合,有些符合,有些不符合,符合,有些符合,5,6,4,6,6,4,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,肯定会,愿意,否,(跳过)
女,大四,人文社科类,一般,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,频繁,文本生成┋视频生成┋数据分析,偶尔,2,3,6,7,7,5,7,7,有些符合,不符合,有些符合,有些不符合,不符合,符合,不符合,有些符合,5,6,7,6,6,4,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,可能会,愿意,是,1~50元
男,大四,人文社科类,一般,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,偶尔（一个月1～2次）,文本生成┋数据分析,有时,5,4,6,6,4,5,5,7,一般,一般,有些符合,符合,一般,有些符合,有些符合,一般,3,5,4,5,5,2,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,可能会,不确定,否,(跳过)
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋代码生成,有时,4,2,4,6,5,3,2,7,极其符合,符合,符合,符合,符合,有些不符合,极其符合,符合,5,6,6,5,4,3,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,是,50~100元
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,偶尔,3,3,4,5,1,3,2,5,符合,符合,符合,有些符合,有些符合,符合,极其符合,有些符合,5,6,7,6,5,6,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,愿意,否,(跳过)
女,大四,其它,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,频繁,文本生成┋视频生成,偶尔,5,3,4,6,4,5,6,6,有些符合,有些符合,有些符合,符合,符合,符合,一般,极其符合,5,6,6,5,4,3,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,否,(跳过)
女,大四,其它,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天3～5次,文本生成┋数据分析,从未,4,3,2,4,4,6,6,7,有些符合,符合,符合,一般,有些符合,有些不符合,符合,符合,5,5,5,6,5,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,愿意,是,1~50元
女,大四,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,频繁,文本生成┋视频生成┋图像生成,偶尔,6,2,5,5,6,5,6,5,符合,符合,极其符合,符合,有些不符合,符合,符合,符合,6,7,6,6,7,6,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,可能会,愿意,是,50~100元
女,大二,其它,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天1～2次,文本生成┋其它,从未,3,2,5,6,1,5,7,7,符合,有些符合,符合,极其符合,有些符合,符合,极其符合,极其符合,6,7,6,5,5,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,否,(跳过)
女,大一,人文社科类,不太了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋娱乐（如聊天等）,每天1～2次,文本生成┋图像生成┋数据分析,偶尔,4,5,6,7,3,4,5,6,一般,有些符合,符合,极其符合,符合,符合,有些符合,有些符合,6,5,6,5,6,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护┋优化操作界面和流程,肯定会,愿意,是,50~100元
女,研究生及以上,理工科类,非常了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,频繁,文本生成┋代码生成,有时,3,3,3,3,1,1,4,1,有些符合,符合,有些不符合,有些符合,有些符合,有些符合,有些符合,有些符合,5,5,5,5,5,6,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,否,(跳过)
女,大四,人文社科类,不太了解,是,日常生活┋创意启发（如写作灵感等）,很少使用（三个月1～2次）,文本生成┋视频生成┋图像生成,偶尔,5,5,6,5,5,6,4,5,有些符合,有些不符合,有些不符合,一般,有些符合,有些不符合,有些符合,不符合,4,5,4,6,5,6,增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,可能会,愿意,否,(跳过)
男,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天3～5次,文本生成┋视频生成┋图像生成,经常,7,5,6,7,5,6,7,6,有些符合,一般,有些符合,极其符合,符合,符合,符合,有些符合,5,5,6,5,6,7,增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,是,100~150元
男,大四,人文社科类,一般,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,频繁,文本生成┋其它,从未,4,1,1,1,1,5,6,1,一般,有些符合,极其符合,不符合,一般,有些不符合,有些不符合,一般,5,7,6,4,4,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,不愿意,是,1~50元
女,大三,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋娱乐（如聊天等）,频繁,文本生成┋数据分析,有时,2,2,3,2,2,2,3,3,有些符合,有些符合,符合,有些不符合,有些符合,有些符合,符合,有些不符合,5,6,5,5,5,6,提高内容准确性┋提升内容深度和创新性,肯定会,愿意,是,50~100元
女,大一,其它,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,每天1～2次,文本生成┋数据分析,有时,6,4,5,6,5,6,7,7,符合,符合,有些符合,符合,极其符合,有些不符合,符合,符合,6,7,4,3,4,3,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,是,1~50元
男,大二,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天3～5次,文本生成┋图像生成,经常,7,1,1,1,5,7,7,7,符合,符合,符合,一般,有些符合,有些符合,极其符合,有些符合,7,7,3,2,2,5,提高内容准确性┋增强理解需求能力,肯定会,非常愿意,是,1~50元
男,大三,理工科类,不太了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天3～5次,文本生成┋数据分析,偶尔,3,3,4,5,4,5,6,4,有些不符合,不符合,符合,一般,有些符合,符合,一般,有些不符合,5,4,5,4,6,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护┋优化操作界面和流程,肯定会,愿意,否,(跳过)
男,大一,理工科类,一般,是,日常生活┋娱乐（如聊天等）,每天3～5次,文本生成┋代码生成,有时,5,5,5,5,5,5,5,5,不符合,不符合,有些不符合,一般,一般,一般,符合,有些不符合,6,6,6,6,6,6,提升内容深度和创新性┋优化操作界面和流程,可能不会,不愿意,否,(跳过)
女,大二,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,偶尔（一个月1～2次）,文本生成┋数据分析,经常,5,5,1,5,5,3,3,6,符合,有些符合,符合,符合,符合,符合,符合,符合,5,3,5,3,5,3,提高内容准确性┋增强理解需求能力,肯定会,愿意,否,(跳过)
女,大二,人文社科类,完全不了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,频繁,文本生成┋数据分析,从未,5,1,1,4,1,3,5,7,极其符合,一般,符合,有些符合,有些符合,符合,符合,有些符合,5,5,5,4,3,4,提高内容准确性┋优化操作界面和流程,肯定会,愿意,否,(跳过)
男,大二,其它,不太了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,偶尔（一个月1～2次）,文本生成┋图像生成,偶尔,3,1,1,1,1,1,3,2,不符合,不符合,有些符合,不符合,一般,符合,有些不符合,符合,5,5,4,5,5,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,不确定,否,(跳过)
男,大二,理工科类,不太了解,是,日常生活┋创意启发（如写作灵感等）,每天3～5次,视频生成┋图像生成,有时,6,6,4,3,5,5,3,5,一般,有些不符合,不符合,不符合,有些符合,一般,有些不符合,不符合,6,5,6,5,6,5,增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,可能不会,不确定,否,(跳过)
女,大二,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天3～5次,文本生成┋视频生成┋数据分析,经常,3,2,2,4,4,3,5,3,符合,符合,极其符合,一般,有些符合,符合,有些不符合,有些不符合,5,6,4,6,5,5,提高内容准确性┋提升内容深度和创新性,肯定会,非常愿意,否,(跳过)
男,大二,艺术类,一般,否,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
男,大二,艺术类,一般,是,日常生活┋创意启发（如写作灵感等）,每天1～2次,视频生成┋代码生成,偶尔,6,5,6,5,6,5,6,5,一般,有些不符合,有些符合,一般,一般,一般,有些不符合,不符合,6,5,6,5,6,5,提高内容准确性┋提升内容深度和创新性,可能不会,不确定,是,100~150元
男,大二,理工科类,一般,是,课程作业辅助（如写论文、完成报告等））┋娱乐（如聊天等）,每天1～2次,文本生成┋代码生成┋数据分析,经常,6,4,4,5,3,4,3,7,有些符合,符合,一般,极其符合,一般,一般,有些符合,符合,4,5,4,3,4,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,愿意,是,1~50元
女,大四,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,频繁,文本生成┋图像生成,从未,3,1,6,6,5,7,2,6,符合,符合,符合,符合,极其符合,有些不符合,符合,极其符合,6,7,5,6,5,5,提高内容准确性┋加强数据隐私和安全保护,肯定会,非常愿意,是,1~50元
男,大二,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）,每天1～2次,文本生成┋代码生成┋数据分析,有时,3,2,1,1,3,5,4,3,有些符合,有些符合,有些符合,不符合,一般,有些符合,不符合,有些符合,5,6,4,4,4,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,愿意,是,1~50元
男,大三,农学类,完全不了解,是,日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,偶尔（一个月1～2次）,文本生成┋其它,从未,4,1,1,1,4,4,4,4,一般,一般,一般,一般,一般,一般,一般,一般,4,4,4,4,4,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,可能会,不确定,否,(跳过)
男,大三,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天3～5次,文本生成┋代码生成┋数据分析,经常,3,5,4,4,2,6,4,7,有些符合,符合,极其符合,极其符合,符合,符合,有些符合,极其符合,7,6,7,6,6,7,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,非常愿意,否,(跳过)
女,大一,理工科类,不太了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,频繁,文本生成┋代码生成┋数据分析,总是,5,2,3,6,3,4,6,7,符合,符合,符合,符合,有些符合,符合,符合,符合,6,6,6,6,6,6,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护,肯定会,愿意,否,(跳过)
女,大三,人文社科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活,偶尔（一个月1～2次）,文本生成┋代码生成┋数据分析,有时,4,3,6,7,2,4,6,6,有些符合,符合,符合,极其符合,符合,有些符合,符合,符合,5,6,5,6,4,3,提高内容准确性┋增强理解需求能力┋加强数据隐私和安全保护,肯定会,愿意,是,1~50元
男,大二,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋日常生活┋其它〖学习指导〗,每天1～2次,文本生成┋代码生成,偶尔,6,2,4,6,4,3,7,2,一般,有些不符合,有些符合,有些符合,不符合,极其不符合,有些符合,符合,5,6,4,4,4,3,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性,肯定会,不确定,是,1~50元
女,大一,人文社科类,一般,是,日常生活┋创意启发（如写作灵感等）┋娱乐（如聊天等）,每天1～2次,视频生成┋图像生成,偶尔,4,4,4,4,2,4,4,3,极其符合,极其符合,极其符合,极其符合,极其符合,极其符合,极其符合,有些符合,4,4,4,4,4,4,提升内容深度和创新性┋加强数据隐私和安全保护,可能会,愿意,否,(跳过)
男,大二,理工科类,比较了解,是,日常生活┋创意启发（如写作灵感等）,每天1～2次,视频生成┋代码生成,有时,5,3,4,4,4,4,5,4,一般,不符合,有些不符合,有些符合,一般,一般,一般,一般,5,4,5,5,3,5,提高内容准确性┋提升内容深度和创新性,可能会,不确定,否,(跳过)
女,大一,人文社科类,完全不了解,否,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
女,大二,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）┋娱乐（如聊天等）,偶尔（一个月1～2次）,文本生成┋数据分析┋其它,偶尔,4,2,4,6,1,2,6,4,有些符合,符合,符合,有些符合,有些符合,一般,有些符合,有些符合,5,5,5,5,5,5,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护┋优化操作界面和流程,肯定会,愿意,否,(跳过)
女,大二,理工科类,比较了解,是,课程作业辅助（如写论文、完成报告等））┋创意启发（如写作灵感等）,偶尔（一个月1～2次）,文本生成┋数据分析,偶尔,4,2,4,2,1,2,6,3,有些符合,符合,符合,一般,一般,有些符合,符合,有些符合,4,6,3,5,6,4,提高内容准确性┋增强理解需求能力┋提升内容深度和创新性┋加强数据隐私和安全保护┋优化操作界面和流程,肯定会,愿意,否,(跳过)
